train_on,test_on,model,accuracy,precision_weighted,recall_weighted,f1_weighted
UNSW-NB15,TON_IoT,RandomForest,0.23691854266666035,0.05613039585929416,0.23691854266666035,0.09075843545571433
TON_IoT,UNSW-NB15,RandomForest,0.9246443933651524,0.8549672541816106,0.9246443933651524,0.8884417891730529
