dataset,model,accuracy,precision_weighted,recall_weighted,f1_weighted
UNSW-NB15,RandomForest,0.991271490917922,0.9921393824565443,0.991271490917922,0.9914836604682207
TON_IoT,RandomForest,0.9998341585917695,0.9998341897047892,0.9998341585917695,0.9998341671661435
