dataset,model,accuracy,precision_weighted,recall_weighted,f1_weighted
UNSW-NB15,RandomForest,0.9912286340811851,0.9921069336843196,0.9912286340811851,0.9914431986209853
TON_IoT,RandomForest,0.9998104669620224,0.9998104862352847,0.9998104669620224,0.999810473495398
